target,info_feat_1,info_feat_2,info_feat_3,info_feat_4,info_feat_5,info_feat_6,info_feat_7,info_feat_8,red_feat_1,red_feat_2,red_feat_3,red_feat_4,red_feat_5,red_feat_6,rep_feat_1,rep_feat_2,rep_feat_3,rep_feat_4,rep_feat_5,rep_feat_6
1.000000000000000000e+00,2.408767104309370133e+00,4.180914184629616059e-01,-4.135746157135548051e-01,-2.955192167895919209e+00,-2.378007364086975883e+00,-7.773248605459006644e-01,2.848769056492154839e+00,2.340255896740149222e+00,5.253210844539048630e+00,1.119749001076340900e+00,1.119749001076340900e+00,-2.448562321542519182e+00,2.340255896740149222e+00,-2.448562321542519182e+00,-7.773248605459006644e-01,-2.955192167895919209e+00,-3.067368189329136019e-01,-1.086919184928846871e+00,1.179158081533104196e+00,-2.448562321542519182e+00
1.000000000000000000e+00,-1.545427918554019397e+00,2.278628606246702049e-01,3.143654929562863298e+00,1.354238085162640992e+00,2.570648762801619913e+00,1.862476423567654304e+00,-1.546309683152795378e+00,3.903851018520714256e-01,-1.687233569219936502e+00,-1.350035203032254660e+00,-1.350035203032254660e+00,4.243647952916266064e+00,3.903851018520714256e-01,4.243647952916266064e+00,1.862476423567654304e+00,1.354238085162640992e+00,-9.806877308206349841e-01,-7.910168920087772282e-01,-1.437114430879893323e+00,4.243647952916266064e+00
0.000000000000000000e+00,-1.246987770132495843e+00,-1.940142228196472196e+00,-2.293624040082936855e+00,6.225890224935167083e+00,4.544056405151520650e+00,5.832801097504245469e+00,-1.395241353912078930e+00,-2.174018070378692435e+00,-7.140947005900466493e+00,3.046686323529406604e+00,3.046686323529406604e+00,-4.434663479611889447e-01,-2.174018070378692435e+00,-4.434663479611889447e-01,5.832801097504245469e+00,6.225890224935167083e+00,3.111738298148961412e+00,1.673191570378795845e-02,-2.291488887262178142e+00,-4.434663479611889447e-01
0.000000000000000000e+00,-1.383554539932774219e-02,-1.842217887023069212e+00,4.085326519620353647e-01,2.606540767198549435e+00,1.756181892327989935e+00,4.630863410034452343e+00,-2.164528254308081823e-01,-5.347255436129393358e-01,-2.275019176127944132e+00,1.545613281032827135e+00,1.545613281032827135e+00,2.478690285987422137e-01,-5.347255436129393358e-01,2.478690285987422137e-01,4.630863410034452343e+00,2.606540767198549435e+00,3.791546299948713727e-01,-1.635323509777809159e+00,-1.423892752979950771e+00,2.478690285987422137e-01
1.000000000000000000e+00,-3.245976291316441831e+00,-1.729303182381555004e+00,6.983548797608096770e-03,-3.872617615019464249e-02,1.199838161789185342e+00,-3.474733669823562465e+00,-3.905458123852092456e+00,-2.038162814668103895e+00,-4.140280124381125582e+00,-4.463948895506479886e+00,-4.463948895506479886e+00,5.610576654308719213e+00,-2.038162814668103895e+00,5.610576654308719213e+00,-3.474733669823562465e+00,-3.872617615019464249e-02,-3.032266484456151989e+00,2.772633159845343087e+00,2.811806056092092110e-02,5.610576654308719213e+00
0.000000000000000000e+00,-1.864707185890847274e+00,8.651292484343766631e-01,-2.387792294052104136e+00,-7.466958888742666334e-01,-4.834110977996641800e-02,-1.737014382770209364e+00,-2.510953892175404878e+00,-2.611606206586929879e+00,-1.491206660387947247e+00,-8.517191812172613119e-01,-8.517191812172613119e-01,-3.735556892357367431e+00,-2.611606206586929879e+00,-3.735556892357367431e+00,-1.737014382770209364e+00,-7.466958888742666334e-01,3.098950357990584159e-01,2.164629289088044750e+00,-3.403096927257751592e+00,-3.735556892357367431e+00
0.000000000000000000e+00,3.716527485664661290e-01,2.133040173969550590e+00,1.205698182338377222e-02,2.198189022076487475e+00,8.124633966315284450e-01,2.930145523676644714e+00,-2.094143413108964680e+00,-3.338025247102311077e+00,-1.091872327176105939e+00,-1.434722733693215346e+00,-1.434722733693215346e+00,-4.949637104598929582e+00,-3.338025247102311077e+00,-4.949637104598929582e+00,2.930145523676644714e+00,2.198189022076487475e+00,-4.575344919654923403e-01,-3.724371205188852230e-01,-1.529924403165324964e+00,-4.949637104598929582e+00
1.000000000000000000e+00,2.519589930282021939e+00,-8.659935486398406823e-02,-7.927304416598424108e-01,1.259503891880919602e+00,4.886998288746799979e-01,2.268890488519434534e+00,5.353806979141635836e+00,4.585133261839668961e+00,2.444320588617388879e+00,5.539503305826912971e+00,5.539503305826912971e+00,-9.994895751754168112e-02,4.585133261839668961e+00,-9.994895751754168112e-02,2.268890488519434534e+00,1.259503891880919602e+00,3.589068445212830305e+00,-2.324116664307049440e+00,2.273862124217584491e+00,-9.994895751754168112e-02
0.000000000000000000e+00,-2.639818649750404145e+00,-7.080699899817863852e-01,-1.739192574334722963e+00,1.918737839322919081e+00,2.125493203766696038e+00,7.311570412783116035e-01,1.468371181486205490e+00,2.158473008119065728e+00,-1.551639714705154161e+00,3.124743004199173502e+00,3.124743004199173502e+00,4.040376586452113505e-01,2.158473008119065728e+00,4.040376586452113505e-01,7.311570412783116035e-01,1.918737839322919081e+00,9.967946412937314093e-01,-1.464846163583659377e+00,-3.087586038314367620e+00,4.040376586452113505e-01
0.000000000000000000e+00,-2.602487325324655210e+00,-2.802731717202649797e+00,-5.216198601213264396e-01,-4.840869764644771145e+00,2.159795383522162382e+00,-3.930543655450553953e+00,-5.220377088150350176e+00,-8.117335340288271972e-01,-3.660706213224953043e+00,-1.636382684639253293e+00,-1.636382684639253293e+00,7.088390100862103971e+00,-8.117335340288271972e-01,7.088390100862103971e+00,-3.930543655450553953e+00,-4.840869764644771145e+00,2.382964889171975464e+00,7.150930513356192897e+00,-3.872735569953408952e+00,7.088390100862103971e+00
