target,info_feat_1,info_feat_2,info_feat_3,info_feat_4,info_feat_5,info_feat_6,info_feat_7,info_feat_8,red_feat_1,red_feat_2,red_feat_3,red_feat_4,red_feat_5,red_feat_6,rep_feat_1,rep_feat_2,rep_feat_3,rep_feat_4,rep_feat_5,rep_feat_6
1.000000000000000000e+00,1.682110637597153069e+00,6.937208822380738216e-01,-4.308746101971332010e+00,-1.026590961136683244e+00,3.607500261324140256e-01,7.771148680396433583e-01,1.682110637597153069e+00,3.693446410137222191e-01,6.293669731860976890e-01,-9.565810719005902740e-01,3.693446410137222191e-01,5.942107557423850772e-02,3.246519395911400263e-01,-9.565810719005902740e-01,-1.059442149749279860e+00,-6.423944459675047236e-01,-7.791312898156191880e-01,1.682110637597153069e+00,3.246519395911400263e-01,7.771148680396433583e-01
0.000000000000000000e+00,3.570175146238755204e+00,2.346482658526808596e+00,-3.423198162455676208e+00,9.811038795062458906e-01,1.176174941684326791e+00,-8.016149207456892967e-01,3.570175146238755204e+00,-3.958190817793718619e-01,4.428825001853944343e+00,3.192530290320635622e+00,-3.958190817793718619e-01,2.091888553774004400e+00,-5.357267320958092327e+00,3.192530290320635622e+00,-3.215434780960259697e+00,1.597793843132715441e+00,4.574777533291078946e-01,3.570175146238755204e+00,-5.357267320958092327e+00,-8.016149207456892967e-01
1.000000000000000000e+00,7.001807155092151236e-01,6.599768726728182378e-01,-5.827485557947627015e+00,-2.203623617111283739e+00,1.688488441937084472e+00,1.785958460765916245e+00,7.001807155092151236e-01,-1.296077209435588129e+00,-3.242373413151556694e+00,2.499157003455880141e-02,-1.296077209435588129e+00,-1.921805241095446481e+00,3.702187238147761628e-01,2.499157003455880141e-02,2.996696255076894744e+00,-6.127428319390602063e-01,-2.175432353559112464e-01,7.001807155092151236e-01,3.702187238147761628e-01,1.785958460765916245e+00
1.000000000000000000e+00,-7.586926260240680620e-01,1.047859902775414742e+00,1.145356087688195190e+00,1.772185749467431126e+00,6.403951705617851875e-01,-5.480007994708595565e-01,-7.586926260240680620e-01,1.293712902157820421e+00,7.679941236948187311e-02,4.043202838477925054e-01,1.293712902157820421e+00,-8.406820714054079602e-01,2.004165900893193353e-01,4.043202838477925054e-01,-3.903421245908361703e-01,1.529633224345552933e-01,-5.655373210773497750e-01,-7.586926260240680620e-01,2.004165900893193353e-01,-5.480007994708595565e-01
0.000000000000000000e+00,1.733946513839277781e+00,4.380855436116492641e+00,-2.150947206130386036e+00,1.030725424043368976e+00,2.499199131190941614e+00,-2.029907917489336189e+00,1.733946513839277781e+00,7.359066706066061947e-01,8.764880641667126548e-01,2.713065690997140234e+00,7.359066706066061947e-01,1.486736523397627074e+00,-2.654191071546112557e+00,2.713065690997140234e+00,3.324935635711792070e-01,-2.923424982359497992e+00,2.991639142034347110e+00,1.733946513839277781e+00,-2.654191071546112557e+00,-2.029907917489336189e+00
1.000000000000000000e+00,-2.231738362250996754e-01,3.179594188193930471e-01,-9.083576494424498993e-01,-8.810268100618305898e-01,6.367346769978663445e-01,-1.085812349839763602e+00,-2.231738362250996754e-01,-2.154673670117771694e-02,-1.732050490060375481e+00,-9.637762744082857269e-01,-2.154673670117771694e-02,1.012533277252049002e+00,1.564772073490394488e+00,-9.637762744082857269e-01,-5.368244842681435536e-02,-1.638267563968532681e+00,-5.473895898556386808e-01,-2.231738362250996754e-01,1.564772073490394488e+00,-1.085812349839763602e+00
1.000000000000000000e+00,4.097406462716109976e-01,-1.166858494204680241e+00,-4.571618373926381373e+00,-2.256709158222037104e+00,3.495264695263533117e+00,4.637111629928245549e-01,4.097406462716109976e-01,1.073213588950575892e-01,-3.347695354710548798e+00,-1.489408250185370708e+00,1.073213588950575892e-01,-2.557789566980821494e+00,1.305694197548509017e+00,-1.489408250185370708e+00,3.679754131500179604e+00,-5.612303713143308448e-01,7.816100813740813891e-01,4.097406462716109976e-01,1.305694197548509017e+00,4.637111629928245549e-01
0.000000000000000000e+00,2.624347915397855502e-01,-1.539993900750147304e-01,4.767739381496374662e+00,2.952388425492417312e+00,-1.593482949686365391e+00,2.581017317534548550e-01,2.624347915397855502e-01,2.837436202690097886e+00,5.242201793064561244e+00,4.813574843696466488e-02,2.837436202690097886e+00,-9.634371690157254031e-01,-9.685309480350293709e-01,4.813574843696466488e-02,-1.278771603673141355e+00,1.996143955247195456e-01,2.551592044548927074e+00,2.624347915397855502e-01,-9.685309480350293709e-01,2.581017317534548550e-01
0.000000000000000000e+00,-2.184391404187372432e-01,1.521179195726532596e+00,4.629438096474190467e-01,1.873809171636713788e+00,4.738111719141906431e-01,2.239225383934190017e+00,-2.184391404187372432e-01,4.957897385574926652e+00,5.496815132863860143e+00,-1.326722347803886093e+00,4.957897385574926652e+00,-1.168089772624479217e+00,-1.638497652300665131e+00,-1.326722347803886093e+00,-1.170170402679645116e+00,2.177673347345931987e+00,4.259927273154946903e+00,-2.184391404187372432e-01,-1.638497652300665131e+00,2.239225383934190017e+00
0.000000000000000000e+00,1.275602951180111688e+00,1.034784536477400874e+00,-2.606360191276448468e+00,9.665326402944974804e-01,6.792168572529233561e-01,1.392194332813478930e+00,1.275602951180111688e+00,2.963978409666469638e+00,4.673454102598927129e+00,-9.067137602435267896e-01,2.963978409666469638e+00,7.714520610792603705e-02,-1.950458676015945692e+00,-9.067137602435267896e-01,-3.368943625889485816e+00,2.934902032600750665e+00,4.396234234132083696e-01,1.275602951180111688e+00,-1.950458676015945692e+00,1.392194332813478930e+00
1.000000000000000000e+00,-1.002707826349080733e-01,-2.113391085705250028e+00,-1.030884010586005539e+00,-4.146035232828988448e-01,1.745515849143387754e+00,1.865452229544590779e-01,-1.002707826349080733e-01,1.518783607084419618e+00,-6.023246031557145663e-01,-2.273230907167752335e+00,1.518783607084419618e+00,-2.249529119617757367e+00,1.750583413380581987e+00,-2.273230907167752335e+00,8.213400246981371611e-01,7.393550372556556560e-01,-4.854412581209945898e-01,-1.002707826349080733e-01,1.750583413380581987e+00,1.865452229544590779e-01
0.000000000000000000e+00,-5.699251075818638768e+00,-8.674069833734423529e-01,1.536496071592200074e+01,2.420864273800585664e+00,-1.672712154883575053e+00,-6.106482708808433912e+00,-5.699251075818638768e+00,-3.397518243118595294e+00,6.955092311551916984e-01,5.075762502497378037e+00,-3.397518243118595294e+00,1.005123616638146800e+01,-6.294175910914825423e+00,5.075762502497378037e+00,-4.507490614626995296e+00,7.036433228777553950e+00,1.145333657988057974e+00,-5.699251075818638768e+00,-6.294175910914825423e+00,-6.106482708808433912e+00
1.000000000000000000e+00,7.670242663233431957e-01,-6.439536110660921686e-01,1.757979186616499268e-01,4.910235985730191377e-01,-4.474905757058668110e-01,-3.009980660937638941e-01,7.670242663233431957e-01,2.613535974465390765e+00,2.779904731232450743e+00,-2.596133012150165786e+00,2.613535974465390765e+00,2.541978021010163902e-01,1.664738069932270914e+00,-2.596133012150165786e+00,-2.569536504694572621e+00,-6.785300963752485259e-01,-2.398970091810386229e-01,7.670242663233431957e-01,1.664738069932270914e+00,-3.009980660937638941e-01
0.000000000000000000e+00,-2.047286686442928882e+00,2.787420446606408753e+00,4.391547654357184527e+00,1.006125128754678633e+00,-3.890577030454021479e+00,-1.676866828624727690e+00,-2.047286686442928882e+00,-4.343203403000083007e+00,-1.857930377921686249e+00,4.154201790984780374e+00,-4.343203403000083007e+00,5.278827671493785623e+00,-1.737428394546962185e+00,4.154201790984780374e+00,-2.855275398541021747e+00,2.007503236130093183e-01,-3.188910909691291096e+00,-2.047286686442928882e+00,-1.737428394546962185e+00,-1.676866828624727690e+00
